"","sampling_cluster_median_date","hen_prevalence_normalized","hen_prevalence_normalized_smooth","ct_threshold","prev_quantile"
"98",2018-01-22,0,1.12972233565714e-07,30,0.048
"99",2018-02-14,0,8.02624550674095e-07,30,0.046
"100",2018-03-07,0,8.88650325435315e-06,30,0.046
"101",2018-04-27,0,0.00592527744086622,30,0.058
"102",2018-05-19,0,0.057916895732553,30,0.194
"103",2018-06-06,0.508474576271186,0.200036476923919,30,0.678
"104",2018-06-29,0,0.441128979195097,30,0.916
"105",2018-07-26,0.708661417322835,0.58431011854087,30,0.944
"106",2018-08-30,0.697674418604651,0.536343775866973,30,0.908
"107",2018-09-28,0.478723404255319,0.366106120833865,30,0.736
"108",2018-10-10,0,0.285500569106231,30,0.62
"109",2018-10-27,0.330882352941177,0.185107258553817,30,0.448
"110",2018-11-28,0,0.0695450411377356,30,0.224
"111",2019-01-03,0,0.0234334874173672,30,0.144
"112",2019-01-25,0,0.0139291668608046,30,0.152
"113",2019-02-26,0,0.00932462602035237,30,0.166
"114",2019-03-10,0,0.00920782091339163,30,0.182
"115",2019-03-25,0.104166666666667,0.00998264797768873,30,0.2
"116",2019-05-02,0,0.0167973001830389,30,0.3
"117",2019-06-05,0,0.0300270398162069,30,0.438
"118",2019-07-01,0,0.0417206672449365,30,0.534
"119",2019-07-15,0.214285714285714,0.0455422990967773,30,0.586
"120",2019-07-25,0,0.0464134704153501,30,0.61
"121",2019-08-28,0,0.040423800765919,30,0.67
"122",2019-09-24,0,0.031880126332799,30,0.682
"123",2019-10-28,0,0.0237112748294687,30,0.65
"124",2019-11-27,0,0.0212670723765569,30,0.628
"125",2019-12-18,0,0.0228806874514964,30,0.642
"126",2020-01-28,0.0646551724137931,0.0344240858222184,30,0.732
"127",2020-02-25,0.194805194805195,0.0494859307046545,30,0.794
"128",2020-03-25,0.0824175824175824,0.0695446407278865,30,0.85
"129",2020-04-28,0,0.08782943414985,30,0.836
"130",2020-05-26,0,0.0852238654630726,30,0.764
"131",2020-06-25,0,0.0645078685702386,30,0.602
"132",2020-07-20,0.230769230769231,0.0435633706704331,30,0.416
"133",2020-08-05,0,0.0318954309229667,30,0.314
"134",2020-08-25,0,0.0205676250964277,30,0.214
"135",2020-09-25,0,0.00979190917584616,30,0.188
"136",2017-07-17,0.940740740740741,0.971276048931226,31,0.942
"137",2017-08-08,0.940740740740741,0.887414548349801,31,0.962
"138",2017-09-06,0.641414141414141,0.556946309041488,31,0.936
"139",2017-10-08,0,0.173567675516535,31,0.57
"140",2017-10-31,0,0.0684381553025825,31,0.47
"141",2017-11-23,0,0.0322917966496359,31,0.398
"142",2017-12-18,0.31358024691358,0.0198705087865746,31,0.362
"143",2018-01-22,0,0.0183480460853186,31,0.348
"144",2018-02-14,0,0.0236969463751272,31,0.358
"145",2018-03-07,0,0.0350846105534963,31,0.424
"146",2018-04-27,0,0.127293718310331,31,0.748
"147",2018-05-19,0,0.22168148783193,31,0.854
"148",2018-06-06,0.47834274952919,0.326317913323245,31,0.898
"149",2018-06-29,0.381381381381381,0.470590390048089,31,0.962
"150",2018-07-26,1,0.601857787110072,31,0.984
"151",2018-08-30,0.656330749354005,0.656946651998666,31,0.988
"152",2018-09-28,0.900709219858156,0.577613837348232,31,0.968
"153",2018-10-10,0,0.500172816950096,31,0.938
"154",2018-10-27,0.415032679738562,0.352897945935246,31,0.864
"155",2018-11-28,0,0.111252470082947,31,0.414
"156",2019-01-03,0,0.021495300634788,31,0.08
"157",2019-01-25,0,0.00911377606377838,31,0.044
"158",2019-02-26,0,0.0046176154278568,31,0.032
