"","ct_threshold","AIC","AIC.quantile"
"1",28,25.614,0.75
"2",29,17.304,0.062
"3",30,18.905,0.254
"4",31,18.976,0.314
"5",32,18.632,0.208
"6",33,17.876,0.088
"7",34,18.546,0.286
"8",35,17.916,0.116
"9",36,17.129,0.022
"10",37,17.398,0.076
"11",38,17.4,0.17
"12",39,17.483,0.496
"13",40,17.381,0.388
