"","site","site_code","date","sampling_cluster","sampling_cluster_median_date","sampling_group_month","sampling_group_year","accession_update","sample_id","ct_hev","Nml_hev","preservative","bff_present_update","nbff_over_sheet","nnonbff_over_sheet"
"48","Burleigh","BUR","2020-01-30",36,2020-01-28,"Jan","2020","ARBUR018","59",0,NA,"VTM","bff_present",2,0
"49","Burleigh","BUR","2020-01-30",36,2020-01-28,"Jan","2020","ARBUR018","60",0,NA,"VTM","bff_present",1,0
"50","Burleigh","BUR","2020-01-30",36,2020-01-28,"Jan","2020","ARBUR018","61",0,NA,"VTM","bff_present",2,0
"51","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","3",0,NA,"VTM","bff_present",2,0
"52","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","4",0,NA,"VTM","bff_present",2,0
"53","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","8",0,NA,"VTM","bff_present",2,0
"54","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","9",0,NA,"VTM","bff_present",2,0
"55","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","10",0,NA,"VTM","bff_present",2,0
"56","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","11",0,NA,"VTM","bff_present",2,0
"57","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","12",0,NA,"VTM","bff_present",2,0
"58","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","14",0,NA,"VTM","bff_present",2,0
"59","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","16",0,NA,"VTM","bff_present",2,0
"60","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","17",0,NA,"VTM","bff_present",4,0
"61","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","18",0,NA,"VTM","bff_present",2,0
"62","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","19",0,NA,"VTM","bff_present",1,0
"63","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","20",0,NA,"VTM","bff_present",4,0
"64","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","21",0,NA,"VTM","bff_present",3,0
"65","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","22",0,NA,"VTM","bff_present",1,0
"66","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","23",0,NA,"VTM","bff_present",4,0
"67","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","24",0,NA,"VTM","bff_present",1,0
"68","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","25",0,NA,"VTM","bff_present",2,0
"69","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","27",0,NA,"VTM","bff_present",1,0
"70","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","28",0,NA,"VTM","bff_present",1,0
"71","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","30",0,NA,"VTM","bff_present",2,0
"72","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","31",0,NA,"VTM","bff_present",4,0
"73","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","32",0,NA,"VTM","bff_present",1,0
"74","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","33",0,NA,"VTM","bff_present",3,0
"75","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","34",0,NA,"VTM","bff_present",3,0
"76","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","35",0,NA,"VTM","bff_present",2,0
"77","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","36",0,NA,"VTM","bff_present",4,0
"78","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","37",0,NA,"VTM","bff_present",2,0
"79","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","38",0,NA,"VTM","bff_present",3,0
"80","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","39",0,NA,"VTM","bff_present",1,0
"81","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","40",0,NA,"VTM","bff_present",3,0
"82","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","41",0,NA,"VTM","bff_present",2,0
"83","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","42",0,NA,"VTM","bff_present",3,0
"84","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","43",0,NA,"VTM","bff_present",3,0
"85","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","44",0,NA,"VTM","bff_present",2,0
"86","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","45",0,NA,"VTM","bff_present",1,0
